YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,11298,30194,"Dallas/Fort Worth, TX",TX,1934,-6,14,2,2034,-22,0,0,104,731,,,,,
2020,5,1,5,5/1/2020,DL,12266,31453,"Houston, TX",TX,10397,30397,"Atlanta, GA",GA,1122,-8,10,4,1410,-14,0,0,94,689,,,,,
2020,5,1,5,5/1/2020,DL,13487,31650,"Minneapolis, MN",MN,11697,32467,"Fort Lauderdale, FL",FL,928,27,9,4,1333,-4,0,0,172,1487,,,,,
2020,5,1,5,5/1/2020,DL,15016,31123,"St. Louis, MO",MO,14869,34614,"Salt Lake City, UT",UT,751,-9,9,16,957,-11,0,0,161,1156,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,14747,30559,"Seattle, WA",WA,845,11,10,6,1054,7,0,0,293,2182,,,,,
2020,5,1,5,5/1/2020,DL,11884,31884,"Spokane, WA",WA,14869,34614,"Salt Lake City, UT",UT,1333,-12,11,4,1607,-6,0,0,79,546,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,11618,31703,"Newark, NJ",NJ,1458,-2,9,4,1649,-25,0,0,98,746,,,,,
2020,5,1,5,5/1/2020,DL,11618,31703,"Newark, NJ",NJ,10397,30397,"Atlanta, GA",GA,1754,-1,7,4,1939,-38,0,0,94,746,,,,,
2020,5,1,5,5/1/2020,DL,11292,30325,"Denver, CO",CO,14869,34614,"Salt Lake City, UT",UT,1720,-5,13,9,1851,0,0,0,69,391,,,,,
2020,5,1,5,5/1/2020,DL,12441,32441,"Jackson, WY",WY,14869,34614,"Salt Lake City, UT",UT,1314,-16,10,5,1410,-11,0,0,41,205,,,,,
2020,5,1,5,5/1/2020,DL,14869,34614,"Salt Lake City, UT",UT,12441,32441,"Jackson, WY",WY,1108,-7,12,4,1200,-9,0,0,36,205,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,14524,34524,"Richmond, VA",VA,1738,-2,11,4,1905,-2,0,0,72,481,,,,,
2020,5,1,5,5/1/2020,DL,11433,31295,"Detroit, MI",MI,12264,30852,"Washington, DC",VA,2101,1,10,4,2210,-10,0,0,55,383,,,,,
2020,5,1,5,5/1/2020,DL,12264,30852,"Washington, DC",VA,11433,31295,"Detroit, MI",MI,949,-6,10,7,1106,-11,0,0,60,383,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,12892,32575,"Los Angeles, CA",CA,1958,3,13,8,2138,0,0,0,259,1947,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,15016,31123,"St. Louis, MO",MO,1548,-2,12,5,1627,7,0,0,82,484,,,,,
2020,5,1,5,5/1/2020,DL,15016,31123,"St. Louis, MO",MO,10397,30397,"Atlanta, GA",GA,1740,-5,9,5,1956,-15,0,0,62,484,,,,,
2020,5,1,5,5/1/2020,DL,12451,31136,"Jacksonville, FL",FL,10397,30397,"Atlanta, GA",GA,1107,-8,10,3,1205,-19,0,0,45,270,,,,,
2020,5,1,5,5/1/2020,DL,12953,31703,"New York, NY",NY,10397,30397,"Atlanta, GA",GA,1815,-5,13,5,2012,-33,0,0,99,762,,,,,
2020,5,1,5,5/1/2020,DL,10994,30994,"Charleston, SC",SC,10397,30397,"Atlanta, GA",GA,621,1,8,4,720,-5,0,0,47,259,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,14730,33044,"Louisville, KY",KY,1043,-12,18,4,1159,-10,0,0,54,321,,,,,
2020,5,1,5,5/1/2020,DL,14730,33044,"Louisville, KY",KY,10397,30397,"Atlanta, GA",GA,1253,-6,11,3,1358,-24,0,0,51,321,,,,,
2020,5,1,5,5/1/2020,DL,14771,32457,"San Francisco, CA",CA,12892,32575,"Los Angeles, CA",CA,1849,-6,16,8,2006,-17,0,0,53,337,,,,,
2020,5,1,5,5/1/2020,DL,11433,31295,"Detroit, MI",MI,10397,30397,"Atlanta, GA",GA,1756,-4,13,6,1938,-19,0,0,83,594,,,,,
2020,5,1,5,5/1/2020,DL,15323,35323,"Bristol/Johnson City/Kingsport, TN",TN,10397,30397,"Atlanta, GA",GA,815,45,9,4,907,28,0,0,39,227,28,0,0,0,0
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,11618,31703,"Newark, NJ",NJ,853,-2,11,3,1050,-13,0,0,103,746,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,14843,34819,"San Juan, PR",PR,1006,1,12,2,1317,-17,0,0,177,1547,,,,,
2020,5,1,5,5/1/2020,DL,14843,34819,"San Juan, PR",PR,10397,30397,"Atlanta, GA",GA,1420,-15,11,3,1809,-14,0,0,215,1547,,,,,
2020,5,1,5,5/1/2020,DL,14679,33570,"San Diego, CA",CA,10397,30397,"Atlanta, GA",GA,1257,-3,11,5,1951,-14,0,0,218,1892,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,14193,33728,"Pensacola, FL",FL,1001,-4,12,5,1008,-7,0,0,50,271,,,,,
2020,5,1,5,5/1/2020,DL,14193,33728,"Pensacola, FL",FL,10397,30397,"Atlanta, GA",GA,1120,-10,10,6,1319,-20,0,0,43,271,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,12266,31453,"Houston, TX",TX,1537,-3,11,4,1633,-16,0,0,101,689,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,14122,30198,"Pittsburgh, PA",PA,1132,-3,13,7,1315,14,0,0,83,526,,,,,
2020,5,1,5,5/1/2020,DL,14122,30198,"Pittsburgh, PA",PA,10397,30397,"Atlanta, GA",GA,1435,5,16,6,1601,-13,0,0,64,526,,,,,
2020,5,1,5,5/1/2020,DL,11433,31295,"Detroit, MI",MI,14100,34100,"Philadelphia, PA",PA,2020,-7,15,3,2143,-13,0,0,65,453,,,,,
2020,5,1,5,5/1/2020,DL,11618,31703,"Newark, NJ",NJ,10397,30397,"Atlanta, GA",GA,1156,-4,10,5,1352,-24,0,0,101,746,,,,,
2020,5,1,5,5/1/2020,DL,15304,33195,"Tampa, FL",FL,11433,31295,"Detroit, MI",MI,1429,-1,14,8,1712,14,0,0,141,983,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,11697,32467,"Fort Lauderdale, FL",FL,1454,-6,14,3,1628,-20,0,0,77,581,,,,,
2020,5,1,5,5/1/2020,DL,11697,32467,"Fort Lauderdale, FL",FL,10397,30397,"Atlanta, GA",GA,1803,-2,13,4,1945,-14,0,0,85,581,,,,,
2020,5,1,5,5/1/2020,DL,10397,30397,"Atlanta, GA",GA,12451,31136,"Jacksonville, FL",FL,816,-4,9,2,909,-11,0,0,42,270,,,,,
2020,5,1,5,5/1/2020,DL,12945,32945,"Lexington, KY",KY,10397,30397,"Atlanta, GA",GA,711,6,10,5,816,-6,0,0,50,304,,,,,
