node,route,arr,dep,arr5.prop,dep5.prop
ABE,ABE->ATL,-3.051948051948052,2.1818181818181817,0.14285714285714285,0.07792207792207792
ATL,ABE->ATL,-3.051948051948052,2.1818181818181817,0.14285714285714285,0.07792207792207792
ABQ,ABQ->ATL,1.0461095100864553,3.6235632183908044,0.1786743515850144,0.09482758620689655
ATL,ABQ->ATL,1.0461095100864553,3.6235632183908044,0.1786743515850144,0.09482758620689655
ABQ,ABQ->MSP,-16,-0.5,0,0
MSP,ABQ->MSP,-16,-0.5,0,0
ABQ,ABQ->SLC,-7.926829268292683,0.6829268292682927,0.0975609756097561,0.0975609756097561
SLC,ABQ->SLC,-7.926829268292683,0.6829268292682927,0.0975609756097561,0.0975609756097561
AGS,AGS->ATL,-6.304932735426009,-0.9017857142857143,0.08071748878923767,0.09375
ATL,AGS->ATL,-6.304932735426009,-0.9017857142857143,0.08071748878923767,0.09375
ALB,ALB->ATL,-6.122850122850123,2.156479217603912,0.14742014742014742,0.10024449877750612
ATL,ALB->ATL,-6.122850122850123,2.156479217603912,0.14742014742014742,0.10024449877750612
ALB,ALB->DTW,-7.012658227848101,0.7848101265822784,0.10126582278481013,0.02531645569620253
DTW,ALB->DTW,-7.012658227848101,0.7848101265822784,0.10126582278481013,0.02531645569620253
ANC,ANC->ATL,33.5,22.714285714285715,0.7857142857142857,0.5714285714285714
ATL,ANC->ATL,33.5,22.714285714285715,0.7857142857142857,0.5714285714285714
ANC,ANC->MSP,0.9009287925696594,9.138461538461538,0.15479876160990713,0.15076923076923077
MSP,ANC->MSP,0.9009287925696594,9.138461538461538,0.15479876160990713,0.15076923076923077
ANC,ANC->SEA,-9.993470149253731,-1.272134203168686,0.1166044776119403,0.08853681267474371
SEA,ANC->SEA,-9.993470149253731,-1.272134203168686,0.1166044776119403,0.08853681267474371
ANC,ANC->SLC,13.344827586206897,0.20689655172413793,0.5862068965517241,0.13793103448275862
SLC,ANC->SLC,13.344827586206897,0.20689655172413793,0.5862068965517241,0.13793103448275862
ATL,ATL->ABE,-6.597402597402597,3.3376623376623376,0.07792207792207792,0.1038961038961039
ABE,ATL->ABE,-6.597402597402597,3.3376623376623376,0.07792207792207792,0.1038961038961039
ATL,ATL->ABQ,0.4482758620689655,2.6408045977011496,0.20402298850574713,0.12643678160919541
ABQ,ATL->ABQ,0.4482758620689655,2.6408045977011496,0.20402298850574713,0.12643678160919541
ATL,ATL->AGS,4.821428571428571,8.133928571428571,0.14285714285714285,0.11160714285714286
AGS,ATL->AGS,4.821428571428571,8.133928571428571,0.14285714285714285,0.11160714285714286
ATL,ATL->ALB,-2.3765281173594133,2.6552567237163816,0.1491442542787286,0.13691931540342298
ALB,ATL->ALB,-2.3765281173594133,2.6552567237163816,0.1491442542787286,0.13691931540342298
ATL,ATL->ANC,27.285714285714285,16.428571428571427,0.8571428571428571,0.2857142857142857
ANC,ATL->ANC,27.285714285714285,16.428571428571427,0.8571428571428571,0.2857142857142857
ATL,ATL->ATW,-7.626865671641791,-1.3507462686567164,0.13432835820895522,0.08955223880597014
ATW,ATL->ATW,-7.626865671641791,-1.3507462686567164,0.13432835820895522,0.08955223880597014
ATL,ATL->AUS,0.7992610837438423,1.8189073050951503,0.22660098522167488,0.13627992633517497
AUS,ATL->AUS,0.7992610837438423,1.8189073050951503,0.22660098522167488,0.13627992633517497
ATL,ATL->AVL,-5.700483091787439,-1.9238095238095239,0.10144927536231885,0.07142857142857142
AVL,ATL->AVL,-5.700483091787439,-1.9238095238095239,0.10144927536231885,0.07142857142857142
ATL,ATL->AVP,-12.408450704225352,-1.267605633802817,0.07042253521126761,0.1267605633802817
AVP,ATL->AVP,-12.408450704225352,-1.267605633802817,0.07042253521126761,0.1267605633802817
ATL,ATL->BDL,-3.347414420975965,1.6341818181818182,0.15149308084486526,0.12945454545454546
BDL,ATL->BDL,-3.347414420975965,1.6341818181818182,0.15149308084486526,0.12945454545454546
ATL,ATL->BHM,-1.9011627906976745,1.5593667546174144,0.12684989429175475,0.11503957783641161
BHM,ATL->BHM,-1.9011627906976745,1.5593667546174144,0.12684989429175475,0.11503957783641161
ATL,ATL->BNA,-2.8862034239677743,1.1863041289023162,0.12336354481369587,0.11027190332326284
BNA,ATL->BNA,-2.8862034239677743,1.1863041289023162,0.12336354481369587,0.11027190332326284
ATL,ATL->BOI,-2.3333333333333335,1.7837837837837838,0.16666666666666666,0.13513513513513514
BOI,ATL->BOI,-2.3333333333333335,1.7837837837837838,0.16666666666666666,0.13513513513513514
ATL,ATL->BOS,-6.156557377049181,2.0724815724815726,0.13278688524590163,0.15438165438165438
BOS,ATL->BOS,-6.156557377049181,2.0724815724815726,0.13278688524590163,0.15438165438165438
ATL,ATL->BSM,0.7992610837438423,1.8189073050951503,0.22660098522167488,0.13627992633517497
BSM,ATL->BSM,0.7992610837438423,1.8189073050951503,0.22660098522167488,0.13627992633517497
ATL,ATL->BTV,-13.1,-1.2,0.1,0.1
BTV,ATL->BTV,-13.1,-1.2,0.1,0.1
ATL,ATL->BUF,-5.643765903307888,0.6111817026683608,0.10432569974554708,0.10673443456162643
BUF,ATL->BUF,-5.643765903307888,0.6111817026683608,0.10432569974554708,0.10673443456162643
ATL,ATL->BUR,-2.9166666666666665,-3.0714285714285716,0.27380952380952384,0.03571428571428571
BUR,ATL->BUR,-2.9166666666666665,-3.0714285714285716,0.27380952380952384,0.03571428571428571
ATL,ATL->BWI,-3.6565817409766455,1.413573700954401,0.1321656050955414,0.1261930010604454
