node,route,delay,n_flights
CMH,CMH->MSP,< 15mins Delayed,8
CMH,CMH->MSP,15-60mins Delayed,3
CMH,CMH->MSP,More than 60m Delayed,2
MSP,CMH->MSP,<0 Delay (On-Time),0
MSP,CMH->MSP,< 15mins Delayed,0
MSP,CMH->MSP,15-60mins Delayed,0
MSP,CMH->MSP,More than 60m Delayed,0
CVG,CVG->MSP,<0 Delay (On-Time),158
CVG,CVG->MSP,< 15mins Delayed,6
CVG,CVG->MSP,15-60mins Delayed,6
CVG,CVG->MSP,More than 60m Delayed,2
MSP,CVG->MSP,<0 Delay (On-Time),0
MSP,CVG->MSP,< 15mins Delayed,0
MSP,CVG->MSP,15-60mins Delayed,0
MSP,CVG->MSP,More than 60m Delayed,0
DCA,DCA->MSP,<0 Delay (On-Time),930
DCA,DCA->MSP,< 15mins Delayed,118
DCA,DCA->MSP,15-60mins Delayed,45
DCA,DCA->MSP,More than 60m Delayed,17
MSP,DCA->MSP,<0 Delay (On-Time),0
MSP,DCA->MSP,< 15mins Delayed,0
MSP,DCA->MSP,15-60mins Delayed,0
MSP,DCA->MSP,More than 60m Delayed,0
DEN,DEN->MSP,<0 Delay (On-Time),969
DEN,DEN->MSP,< 15mins Delayed,167
DEN,DEN->MSP,15-60mins Delayed,47
DEN,DEN->MSP,More than 60m Delayed,19
MSP,DEN->MSP,<0 Delay (On-Time),0
MSP,DEN->MSP,< 15mins Delayed,0
MSP,DEN->MSP,15-60mins Delayed,0
MSP,DEN->MSP,More than 60m Delayed,0
DFW,DFW->MSP,<0 Delay (On-Time),519
DFW,DFW->MSP,< 15mins Delayed,158
DFW,DFW->MSP,15-60mins Delayed,58
DFW,DFW->MSP,More than 60m Delayed,24
MSP,DFW->MSP,<0 Delay (On-Time),0
MSP,DFW->MSP,< 15mins Delayed,0
MSP,DFW->MSP,15-60mins Delayed,0
MSP,DFW->MSP,More than 60m Delayed,0
DLH,DLH->MSP,<0 Delay (On-Time),7
DLH,DLH->MSP,< 15mins Delayed,2
DLH,DLH->MSP,15-60mins Delayed,1
DLH,DLH->MSP,More than 60m Delayed,1
MSP,DLH->MSP,<0 Delay (On-Time),0
MSP,DLH->MSP,< 15mins Delayed,0
MSP,DLH->MSP,15-60mins Delayed,0
MSP,DLH->MSP,More than 60m Delayed,0
DTW,DTW->MSP,<0 Delay (On-Time),1626
DTW,DTW->MSP,< 15mins Delayed,252
DTW,DTW->MSP,15-60mins Delayed,110
DTW,DTW->MSP,More than 60m Delayed,29
MSP,DTW->MSP,<0 Delay (On-Time),0
MSP,DTW->MSP,< 15mins Delayed,0
MSP,DTW->MSP,15-60mins Delayed,0
MSP,DTW->MSP,More than 60m Delayed,0
EWR,EWR->MSP,<0 Delay (On-Time),77
EWR,EWR->MSP,< 15mins Delayed,25
EWR,EWR->MSP,15-60mins Delayed,8
EWR,EWR->MSP,More than 60m Delayed,4
MSP,EWR->MSP,<0 Delay (On-Time),0
MSP,EWR->MSP,< 15mins Delayed,0
MSP,EWR->MSP,15-60mins Delayed,0
MSP,EWR->MSP,More than 60m Delayed,0
FAR,FAR->MSP,<0 Delay (On-Time),229
FAR,FAR->MSP,< 15mins Delayed,47
FAR,FAR->MSP,15-60mins Delayed,15
FAR,FAR->MSP,More than 60m Delayed,10
MSP,FAR->MSP,<0 Delay (On-Time),0
MSP,FAR->MSP,< 15mins Delayed,0
MSP,FAR->MSP,15-60mins Delayed,0
MSP,FAR->MSP,More than 60m Delayed,0
FCA,FCA->MSP,<0 Delay (On-Time),163
FCA,FCA->MSP,< 15mins Delayed,34
FCA,FCA->MSP,15-60mins Delayed,9
FCA,FCA->MSP,More than 60m Delayed,0
MSP,FCA->MSP,<0 Delay (On-Time),0
MSP,FCA->MSP,< 15mins Delayed,0
MSP,FCA->MSP,15-60mins Delayed,0
MSP,FCA->MSP,More than 60m Delayed,0
FLL,FLL->MSP,<0 Delay (On-Time),256
FLL,FLL->MSP,< 15mins Delayed,51
FLL,FLL->MSP,15-60mins Delayed,22
FLL,FLL->MSP,More than 60m Delayed,7
MSP,FLL->MSP,<0 Delay (On-Time),0
MSP,FLL->MSP,< 15mins Delayed,0
MSP,FLL->MSP,15-60mins Delayed,0
MSP,FLL->MSP,More than 60m Delayed,0
FSD,FSD->MSP,<0 Delay (On-Time),53
FSD,FSD->MSP,< 15mins Delayed,21
FSD,FSD->MSP,15-60mins Delayed,17
FSD,FSD->MSP,More than 60m Delayed,4
MSP,FSD->MSP,<0 Delay (On-Time),0
MSP,FSD->MSP,< 15mins Delayed,0
MSP,FSD->MSP,15-60mins Delayed,0
MSP,FSD->MSP,More than 60m Delayed,0
GEG,GEG->MSP,<0 Delay (On-Time),408
GEG,GEG->MSP,< 15mins Delayed,72
GEG,GEG->MSP,15-60mins Delayed,23
GEG,GEG->MSP,More than 60m Delayed,11
MSP,GEG->MSP,<0 Delay (On-Time),0
MSP,GEG->MSP,< 15mins Delayed,0
MSP,GEG->MSP,15-60mins Delayed,0
MSP,GEG->MSP,More than 60m Delayed,0
GRB,GRB->MSP,<0 Delay (On-Time),14
GRB,GRB->MSP,< 15mins Delayed,1
GRB,GRB->MSP,15-60mins Delayed,0
GRB,GRB->MSP,More than 60m Delayed,0
MSP,GRB->MSP,<0 Delay (On-Time),0
MSP,GRB->MSP,< 15mins Delayed,0
MSP,GRB->MSP,15-60mins Delayed,0
MSP,GRB->MSP,More than 60m Delayed,0
GRR,GRR->MSP,<0 Delay (On-Time),345
GRR,GRR->MSP,< 15mins Delayed,42
GRR,GRR->MSP,15-60mins Delayed,15
GRR,GRR->MSP,More than 60m Delayed,12
MSP,GRR->MSP,<0 Delay (On-Time),0
MSP,GRR->MSP,< 15mins Delayed,0
MSP,GRR->MSP,15-60mins Delayed,0
MSP,GRR->MSP,More than 60m Delayed,0
HDN,HDN->MSP,<0 Delay (On-Time),15
HDN,HDN->MSP,< 15mins Delayed,5
HDN,HDN->MSP,15-60mins Delayed,5
HDN,HDN->MSP,More than 60m Delayed,0
MSP,HDN->MSP,<0 Delay (On-Time),0
MSP,HDN->MSP,< 15mins Delayed,0
MSP,HDN->MSP,15-60mins Delayed,0
MSP,HDN->MSP,More than 60m Delayed,0
HIK,HIK->MSP,<0 Delay (On-Time),58
HIK,HIK->MSP,< 15mins Delayed,9
HIK,HIK->MSP,15-60mins Delayed,9
HIK,HIK->MSP,More than 60m Delayed,0
MSP,HIK->MSP,<0 Delay (On-Time),0
MSP,HIK->MSP,< 15mins Delayed,0
MSP,HIK->MSP,15-60mins Delayed,0
MSP,HIK->MSP,More than 60m Delayed,0
HNL,HNL->MSP,<0 Delay (On-Time),58
HNL,HNL->MSP,< 15mins Delayed,9
HNL,HNL->MSP,15-60mins Delayed,9
HNL,HNL->MSP,More than 60m Delayed,0
MSP,HNL->MSP,<0 Delay (On-Time),0
MSP,HNL->MSP,< 15mins Delayed,0
MSP,HNL->MSP,15-60mins Delayed,0
MSP,HNL->MSP,More than 60m Delayed,0
IAH,IAH->MSP,<0 Delay (On-Time),49
IAH,IAH->MSP,< 15mins Delayed,13
IAH,IAH->MSP,15-60mins Delayed,12
IAH,IAH->MSP,More than 60m Delayed,5
MSP,IAH->MSP,<0 Delay (On-Time),0
MSP,IAH->MSP,< 15mins Delayed,0
MSP,IAH->MSP,15-60mins Delayed,0
MSP,IAH->MSP,More than 60m Delayed,0
IND,IND->MSP,<0 Delay (On-Time),285
IND,IND->MSP,< 15mins Delayed,30
IND,IND->MSP,15-60mins Delayed,11
IND,IND->MSP,More than 60m Delayed,11
MSP,IND->MSP,<0 Delay (On-Time),0
MSP,IND->MSP,< 15mins Delayed,0
MSP,IND->MSP,15-60mins Delayed,0
MSP,IND->MSP,More than 60m Delayed,0
JAC,JAC->MSP,<0 Delay (On-Time),15
JAC,JAC->MSP,< 15mins Delayed,5
JAC,JAC->MSP,15-60mins Delayed,5
JAC,JAC->MSP,More than 60m Delayed,6
MSP,JAC->MSP,<0 Delay (On-Time),0
MSP,JAC->MSP,< 15mins Delayed,0
MSP,JAC->MSP,15-60mins Delayed,0
MSP,JAC->MSP,More than 60m Delayed,0
JAX,JAX->MSP,<0 Delay (On-Time),4
JAX,JAX->MSP,< 15mins Delayed,0
JAX,JAX->MSP,15-60mins Delayed,0
JAX,JAX->MSP,More than 60m Delayed,0
MSP,JAX->MSP,<0 Delay (On-Time),0
MSP,JAX->MSP,< 15mins Delayed,0
MSP,JAX->MSP,15-60mins Delayed,0
MSP,JAX->MSP,More than 60m Delayed,0
JFK,JFK->MSP,<0 Delay (On-Time),703
JFK,JFK->MSP,< 15mins Delayed,79
JFK,JFK->MSP,15-60mins Delayed,40
JFK,JFK->MSP,More than 60m Delayed,26
MSP,JFK->MSP,<0 Delay (On-Time),0
MSP,JFK->MSP,< 15mins Delayed,0
MSP,JFK->MSP,15-60mins Delayed,0
MSP,JFK->MSP,More than 60m Delayed,0
LAS,LAS->MSP,<0 Delay (On-Time),1051
LAS,LAS->MSP,< 15mins Delayed,220
LAS,LAS->MSP,15-60mins Delayed,52
LAS,LAS->MSP,More than 60m Delayed,23
MSP,LAS->MSP,<0 Delay (On-Time),0
MSP,LAS->MSP,< 15mins Delayed,0
MSP,LAS->MSP,15-60mins Delayed,0
MSP,LAS->MSP,More than 60m Delayed,0
LAX,LAX->MSP,<0 Delay (On-Time),1091
LAX,LAX->MSP,< 15mins Delayed,363
LAX,LAX->MSP,15-60mins Delayed,129
LAX,LAX->MSP,More than 60m Delayed,29
MSP,LAX->MSP,<0 Delay (On-Time),0
MSP,LAX->MSP,< 15mins Delayed,0
MSP,LAX->MSP,15-60mins Delayed,0
MSP,LAX->MSP,More than 60m Delayed,0
LGA,LGA->MSP,<0 Delay (On-Time),989
LGA,LGA->MSP,< 15mins Delayed,126
LGA,LGA->MSP,15-60mins Delayed,60
LGA,LGA->MSP,More than 60m Delayed,34
MSP,LGA->MSP,<0 Delay (On-Time),0
MSP,LGA->MSP,< 15mins Delayed,0
MSP,LGA->MSP,15-60mins Delayed,0
MSP,LGA->MSP,More than 60m Delayed,0
MCI,MCI->MSP,<0 Delay (On-Time),138
MCI,MCI->MSP,< 15mins Delayed,21
MCI,MCI->MSP,15-60mins Delayed,13
MCI,MCI->MSP,More than 60m Delayed,3
MSP,MCI->MSP,<0 Delay (On-Time),0
MSP,MCI->MSP,< 15mins Delayed,0
MSP,MCI->MSP,15-60mins Delayed,0
MSP,MCI->MSP,More than 60m Delayed,0
MCO,MCO->MSP,<0 Delay (On-Time),884
MCO,MCO->MSP,< 15mins Delayed,137
MCO,MCO->MSP,15-60mins Delayed,52
MCO,MCO->MSP,More than 60m Delayed,24
MSP,MCO->MSP,<0 Delay (On-Time),0
MSP,MCO->MSP,< 15mins Delayed,0
MSP,MCO->MSP,15-60mins Delayed,0
MSP,MCO->MSP,More than 60m Delayed,0
MEM,MEM->MSP,<0 Delay (On-Time),19
