node,route,delay,n_flights
MSP,MSP->FCA,< 15mins Delayed,0
MSP,MSP->FCA,15-60mins Delayed,0
MSP,MSP->FCA,More than 60m Delayed,0
FCA,MSP->FCA,<0 Delay (On-Time),181
FCA,MSP->FCA,< 15mins Delayed,19
FCA,MSP->FCA,15-60mins Delayed,6
FCA,MSP->FCA,More than 60m Delayed,0
MSP,MSP->FLL,<0 Delay (On-Time),0
MSP,MSP->FLL,< 15mins Delayed,0
MSP,MSP->FLL,15-60mins Delayed,0
MSP,MSP->FLL,More than 60m Delayed,0
FLL,MSP->FLL,<0 Delay (On-Time),257
FLL,MSP->FLL,< 15mins Delayed,64
FLL,MSP->FLL,15-60mins Delayed,10
FLL,MSP->FLL,More than 60m Delayed,4
MSP,MSP->FSD,<0 Delay (On-Time),0
MSP,MSP->FSD,< 15mins Delayed,0
MSP,MSP->FSD,15-60mins Delayed,0
MSP,MSP->FSD,More than 60m Delayed,0
FSD,MSP->FSD,<0 Delay (On-Time),64
FSD,MSP->FSD,< 15mins Delayed,23
FSD,MSP->FSD,15-60mins Delayed,3
FSD,MSP->FSD,More than 60m Delayed,4
MSP,MSP->GEG,<0 Delay (On-Time),0
MSP,MSP->GEG,< 15mins Delayed,0
MSP,MSP->GEG,15-60mins Delayed,0
MSP,MSP->GEG,More than 60m Delayed,0
GEG,MSP->GEG,<0 Delay (On-Time),423
GEG,MSP->GEG,< 15mins Delayed,56
GEG,MSP->GEG,15-60mins Delayed,25
GEG,MSP->GEG,More than 60m Delayed,10
MSP,MSP->GRB,<0 Delay (On-Time),0
MSP,MSP->GRB,< 15mins Delayed,0
MSP,MSP->GRB,15-60mins Delayed,0
MSP,MSP->GRB,More than 60m Delayed,0
GRB,MSP->GRB,<0 Delay (On-Time),12
GRB,MSP->GRB,< 15mins Delayed,0
GRB,MSP->GRB,15-60mins Delayed,1
GRB,MSP->GRB,More than 60m Delayed,2
MSP,MSP->GRR,<0 Delay (On-Time),0
MSP,MSP->GRR,< 15mins Delayed,0
MSP,MSP->GRR,15-60mins Delayed,0
MSP,MSP->GRR,More than 60m Delayed,0
GRR,MSP->GRR,<0 Delay (On-Time),333
GRR,MSP->GRR,< 15mins Delayed,48
GRR,MSP->GRR,15-60mins Delayed,23
GRR,MSP->GRR,More than 60m Delayed,9
MSP,MSP->HDN,<0 Delay (On-Time),0
MSP,MSP->HDN,< 15mins Delayed,0
MSP,MSP->HDN,15-60mins Delayed,0
MSP,MSP->HDN,More than 60m Delayed,0
HDN,MSP->HDN,<0 Delay (On-Time),23
HDN,MSP->HDN,< 15mins Delayed,1
HDN,MSP->HDN,15-60mins Delayed,1
HDN,MSP->HDN,More than 60m Delayed,0
MSP,MSP->HIK,<0 Delay (On-Time),0
MSP,MSP->HIK,< 15mins Delayed,0
MSP,MSP->HIK,15-60mins Delayed,0
MSP,MSP->HIK,More than 60m Delayed,0
HIK,MSP->HIK,<0 Delay (On-Time),44
HIK,MSP->HIK,< 15mins Delayed,24
HIK,MSP->HIK,15-60mins Delayed,6
HIK,MSP->HIK,More than 60m Delayed,1
MSP,MSP->HNL,<0 Delay (On-Time),0
MSP,MSP->HNL,< 15mins Delayed,0
MSP,MSP->HNL,15-60mins Delayed,0
MSP,MSP->HNL,More than 60m Delayed,0
HNL,MSP->HNL,<0 Delay (On-Time),44
HNL,MSP->HNL,< 15mins Delayed,24
HNL,MSP->HNL,15-60mins Delayed,6
HNL,MSP->HNL,More than 60m Delayed,1
MSP,MSP->IAH,<0 Delay (On-Time),0
MSP,MSP->IAH,< 15mins Delayed,0
MSP,MSP->IAH,15-60mins Delayed,0
MSP,MSP->IAH,More than 60m Delayed,0
IAH,MSP->IAH,<0 Delay (On-Time),39
IAH,MSP->IAH,< 15mins Delayed,25
IAH,MSP->IAH,15-60mins Delayed,12
IAH,MSP->IAH,More than 60m Delayed,4
MSP,MSP->IND,<0 Delay (On-Time),0
MSP,MSP->IND,< 15mins Delayed,0
MSP,MSP->IND,15-60mins Delayed,0
MSP,MSP->IND,More than 60m Delayed,0
IND,MSP->IND,<0 Delay (On-Time),278
IND,MSP->IND,< 15mins Delayed,37
IND,MSP->IND,15-60mins Delayed,13
IND,MSP->IND,More than 60m Delayed,10
MSP,MSP->JAC,<0 Delay (On-Time),0
MSP,MSP->JAC,< 15mins Delayed,0
MSP,MSP->JAC,15-60mins Delayed,0
MSP,MSP->JAC,More than 60m Delayed,0
JAC,MSP->JAC,<0 Delay (On-Time),21
JAC,MSP->JAC,< 15mins Delayed,5
JAC,MSP->JAC,15-60mins Delayed,2
JAC,MSP->JAC,More than 60m Delayed,3
MSP,MSP->JAX,<0 Delay (On-Time),0
MSP,MSP->JAX,< 15mins Delayed,0
MSP,MSP->JAX,15-60mins Delayed,0
MSP,MSP->JAX,More than 60m Delayed,0
JAX,MSP->JAX,<0 Delay (On-Time),4
JAX,MSP->JAX,< 15mins Delayed,0
JAX,MSP->JAX,15-60mins Delayed,0
JAX,MSP->JAX,More than 60m Delayed,0
MSP,MSP->JFK,<0 Delay (On-Time),0
MSP,MSP->JFK,< 15mins Delayed,0
MSP,MSP->JFK,15-60mins Delayed,0
MSP,MSP->JFK,More than 60m Delayed,0
JFK,MSP->JFK,<0 Delay (On-Time),656
JFK,MSP->JFK,< 15mins Delayed,123
JFK,MSP->JFK,15-60mins Delayed,50
JFK,MSP->JFK,More than 60m Delayed,20
MSP,MSP->LAS,<0 Delay (On-Time),0
MSP,MSP->LAS,< 15mins Delayed,0
MSP,MSP->LAS,15-60mins Delayed,0
MSP,MSP->LAS,More than 60m Delayed,0
LAS,MSP->LAS,<0 Delay (On-Time),1116
LAS,MSP->LAS,< 15mins Delayed,149
LAS,MSP->LAS,15-60mins Delayed,53
LAS,MSP->LAS,More than 60m Delayed,28
MSP,MSP->LAX,<0 Delay (On-Time),0
MSP,MSP->LAX,< 15mins Delayed,0
MSP,MSP->LAX,15-60mins Delayed,0
MSP,MSP->LAX,More than 60m Delayed,0
LAX,MSP->LAX,<0 Delay (On-Time),1182
LAX,MSP->LAX,< 15mins Delayed,308
LAX,MSP->LAX,15-60mins Delayed,108
LAX,MSP->LAX,More than 60m Delayed,20
MSP,MSP->LGA,<0 Delay (On-Time),0
MSP,MSP->LGA,< 15mins Delayed,0
MSP,MSP->LGA,15-60mins Delayed,0
MSP,MSP->LGA,More than 60m Delayed,0
LGA,MSP->LGA,<0 Delay (On-Time),923
LGA,MSP->LGA,< 15mins Delayed,164
LGA,MSP->LGA,15-60mins Delayed,81
LGA,MSP->LGA,More than 60m Delayed,42
MSP,MSP->MCI,<0 Delay (On-Time),0
MSP,MSP->MCI,< 15mins Delayed,0
MSP,MSP->MCI,15-60mins Delayed,0
MSP,MSP->MCI,More than 60m Delayed,0
MCI,MSP->MCI,<0 Delay (On-Time),144
MCI,MSP->MCI,< 15mins Delayed,19
MCI,MSP->MCI,15-60mins Delayed,10
MCI,MSP->MCI,More than 60m Delayed,2
MSP,MSP->MCO,<0 Delay (On-Time),0
MSP,MSP->MCO,< 15mins Delayed,0
MSP,MSP->MCO,15-60mins Delayed,0
MSP,MSP->MCO,More than 60m Delayed,0
MCO,MSP->MCO,<0 Delay (On-Time),846
MCO,MSP->MCO,< 15mins Delayed,172
MCO,MSP->MCO,15-60mins Delayed,51
MCO,MSP->MCO,More than 60m Delayed,30
MSP,MSP->MEM,<0 Delay (On-Time),0
MSP,MSP->MEM,< 15mins Delayed,0
MSP,MSP->MEM,15-60mins Delayed,0
MSP,MSP->MEM,More than 60m Delayed,0
MEM,MSP->MEM,<0 Delay (On-Time),20
MEM,MSP->MEM,< 15mins Delayed,2
MEM,MSP->MEM,15-60mins Delayed,0
MEM,MSP->MEM,More than 60m Delayed,1
MSP,MSP->MIA,<0 Delay (On-Time),0
MSP,MSP->MIA,< 15mins Delayed,0
MSP,MSP->MIA,15-60mins Delayed,0
MSP,MSP->MIA,More than 60m Delayed,0
MIA,MSP->MIA,<0 Delay (On-Time),273
MIA,MSP->MIA,< 15mins Delayed,72
MIA,MSP->MIA,15-60mins Delayed,21
MIA,MSP->MIA,More than 60m Delayed,8
MSP,MSP->MKE,<0 Delay (On-Time),0
MSP,MSP->MKE,< 15mins Delayed,0
MSP,MSP->MKE,15-60mins Delayed,0
MSP,MSP->MKE,More than 60m Delayed,0
MKE,MSP->MKE,<0 Delay (On-Time),301
MKE,MSP->MKE,< 15mins Delayed,30
MKE,MSP->MKE,15-60mins Delayed,16
MKE,MSP->MKE,More than 60m Delayed,2
MSP,MSP->MSN,<0 Delay (On-Time),0
MSP,MSP->MSN,< 15mins Delayed,0
MSP,MSP->MSN,15-60mins Delayed,0
MSP,MSP->MSN,More than 60m Delayed,0
MSN,MSP->MSN,<0 Delay (On-Time),79
MSN,MSP->MSN,< 15mins Delayed,7
MSN,MSP->MSN,15-60mins Delayed,4
MSN,MSP->MSN,More than 60m Delayed,2
MSP,MSP->MSO,<0 Delay (On-Time),0
MSP,MSP->MSO,< 15mins Delayed,0
MSP,MSP->MSO,15-60mins Delayed,0
MSP,MSP->MSO,More than 60m Delayed,0
MSO,MSP->MSO,<0 Delay (On-Time),247
MSO,MSP->MSO,< 15mins Delayed,31
MSO,MSP->MSO,15-60mins Delayed,26
MSO,MSP->MSO,More than 60m Delayed,11
MSP,MSP->MSY,<0 Delay (On-Time),0
MSP,MSP->MSY,< 15mins Delayed,0
MSP,MSP->MSY,15-60mins Delayed,0
MSP,MSP->MSY,More than 60m Delayed,0
MSY,MSP->MSY,<0 Delay (On-Time),153
MSY,MSP->MSY,< 15mins Delayed,19
MSY,MSP->MSY,15-60mins Delayed,10
MSY,MSP->MSY,More than 60m Delayed,5
MSP,MSP->OMA,<0 Delay (On-Time),0
MSP,MSP->OMA,< 15mins Delayed,0
MSP,MSP->OMA,15-60mins Delayed,0
MSP,MSP->OMA,More than 60m Delayed,0
OMA,MSP->OMA,<0 Delay (On-Time),9
OMA,MSP->OMA,< 15mins Delayed,2
OMA,MSP->OMA,15-60mins Delayed,0
OMA,MSP->OMA,More than 60m Delayed,0
MSP,MSP->ORD,<0 Delay (On-Time),0
MSP,MSP->ORD,< 15mins Delayed,0
MSP,MSP->ORD,15-60mins Delayed,0
MSP,MSP->ORD,More than 60m Delayed,0
ORD,MSP->ORD,<0 Delay (On-Time),446
ORD,MSP->ORD,< 15mins Delayed,74
ORD,MSP->ORD,15-60mins Delayed,24
ORD,MSP->ORD,More than 60m Delayed,23
MSP,MSP->PBI,<0 Delay (On-Time),0
MSP,MSP->PBI,< 15mins Delayed,0
MSP,MSP->PBI,15-60mins Delayed,0
MSP,MSP->PBI,More than 60m Delayed,0
PBI,MSP->PBI,<0 Delay (On-Time),10
PBI,MSP->PBI,< 15mins Delayed,1
PBI,MSP->PBI,15-60mins Delayed,0
PBI,MSP->PBI,More than 60m Delayed,1
MSP,MSP->PDX,<0 Delay (On-Time),0
MSP,MSP->PDX,< 15mins Delayed,0
MSP,MSP->PDX,15-60mins Delayed,0
MSP,MSP->PDX,More than 60m Delayed,0
PDX,MSP->PDX,<0 Delay (On-Time),849
PDX,MSP->PDX,< 15mins Delayed,104
PDX,MSP->PDX,15-60mins Delayed,33
PDX,MSP->PDX,More than 60m Delayed,8
MSP,MSP->PHL,<0 Delay (On-Time),0
MSP,MSP->PHL,< 15mins Delayed,0
MSP,MSP->PHL,15-60mins Delayed,0
MSP,MSP->PHL,More than 60m Delayed,0
PHL,MSP->PHL,<0 Delay (On-Time),241
PHL,MSP->PHL,< 15mins Delayed,51
PHL,MSP->PHL,15-60mins Delayed,19
PHL,MSP->PHL,More than 60m Delayed,7
MSP,MSP->PHX,<0 Delay (On-Time),0
MSP,MSP->PHX,< 15mins Delayed,0
MSP,MSP->PHX,15-60mins Delayed,0
MSP,MSP->PHX,More than 60m Delayed,0
PHX,MSP->PHX,<0 Delay (On-Time),981
PHX,MSP->PHX,< 15mins Delayed,232
PHX,MSP->PHX,15-60mins Delayed,63
PHX,MSP->PHX,More than 60m Delayed,16
MSP,MSP->PIT,<0 Delay (On-Time),0
MSP,MSP->PIT,< 15mins Delayed,0
MSP,MSP->PIT,15-60mins Delayed,0
MSP,MSP->PIT,More than 60m Delayed,0
PIT,MSP->PIT,<0 Delay (On-Time),48
PIT,MSP->PIT,< 15mins Delayed,14
PIT,MSP->PIT,15-60mins Delayed,1
PIT,MSP->PIT,More than 60m Delayed,1
MSP,MSP->PSC,<0 Delay (On-Time),0
MSP,MSP->PSC,< 15mins Delayed,0
MSP,MSP->PSC,15-60mins Delayed,0
MSP,MSP->PSC,More than 60m Delayed,0
PSC,MSP->PSC,<0 Delay (On-Time),40
PSC,MSP->PSC,< 15mins Delayed,5
PSC,MSP->PSC,15-60mins Delayed,5
PSC,MSP->PSC,More than 60m Delayed,0
MSP,MSP->PSP,<0 Delay (On-Time),0
MSP,MSP->PSP,< 15mins Delayed,0
MSP,MSP->PSP,15-60mins Delayed,0
MSP,MSP->PSP,More than 60m Delayed,0
PSP,MSP->PSP,<0 Delay (On-Time),81
PSP,MSP->PSP,< 15mins Delayed,19
PSP,MSP->PSP,15-60mins Delayed,14
PSP,MSP->PSP,More than 60m Delayed,0
MSP,MSP->RAP,<0 Delay (On-Time),0
MSP,MSP->RAP,< 15mins Delayed,0
MSP,MSP->RAP,15-60mins Delayed,0
MSP,MSP->RAP,More than 60m Delayed,0
RAP,MSP->RAP,<0 Delay (On-Time),58
RAP,MSP->RAP,< 15mins Delayed,10
RAP,MSP->RAP,15-60mins Delayed,4
RAP,MSP->RAP,More than 60m Delayed,2
MSP,MSP->RDU,<0 Delay (On-Time),0
MSP,MSP->RDU,< 15mins Delayed,0
MSP,MSP->RDU,15-60mins Delayed,0
MSP,MSP->RDU,More than 60m Delayed,0
RDU,MSP->RDU,<0 Delay (On-Time),293
RDU,MSP->RDU,< 15mins Delayed,55
RDU,MSP->RDU,15-60mins Delayed,27
RDU,MSP->RDU,More than 60m Delayed,13
MSP,MSP->RNO,<0 Delay (On-Time),0
MSP,MSP->RNO,< 15mins Delayed,0
MSP,MSP->RNO,15-60mins Delayed,0
MSP,MSP->RNO,More than 60m Delayed,0
RNO,MSP->RNO,<0 Delay (On-Time),2
RNO,MSP->RNO,< 15mins Delayed,1
RNO,MSP->RNO,15-60mins Delayed,0
RNO,MSP->RNO,More than 60m Delayed,0
MSP,MSP->RSW,<0 Delay (On-Time),0
MSP,MSP->RSW,< 15mins Delayed,0
MSP,MSP->RSW,15-60mins Delayed,0
MSP,MSP->RSW,More than 60m Delayed,0
RSW,MSP->RSW,<0 Delay (On-Time),709
RSW,MSP->RSW,< 15mins Delayed,128
RSW,MSP->RSW,15-60mins Delayed,31
RSW,MSP->RSW,More than 60m Delayed,15
MSP,MSP->SAN,<0 Delay (On-Time),0
MSP,MSP->SAN,< 15mins Delayed,0
MSP,MSP->SAN,15-60mins Delayed,0
MSP,MSP->SAN,More than 60m Delayed,0
SAN,MSP->SAN,<0 Delay (On-Time),719
SAN,MSP->SAN,< 15mins Delayed,131
SAN,MSP->SAN,15-60mins Delayed,36
SAN,MSP->SAN,More than 60m Delayed,11
MSP,MSP->SAT,<0 Delay (On-Time),0
MSP,MSP->SAT,< 15mins Delayed,0
MSP,MSP->SAT,15-60mins Delayed,0
MSP,MSP->SAT,More than 60m Delayed,0
SAT,MSP->SAT,<0 Delay (On-Time),0
SAT,MSP->SAT,< 15mins Delayed,1
SAT,MSP->SAT,15-60mins Delayed,0
SAT,MSP->SAT,More than 60m Delayed,0
MSP,MSP->SAV,<0 Delay (On-Time),0
MSP,MSP->SAV,< 15mins Delayed,0
MSP,MSP->SAV,15-60mins Delayed,0
MSP,MSP->SAV,More than 60m Delayed,0
SAV,MSP->SAV,<0 Delay (On-Time),1
SAV,MSP->SAV,< 15mins Delayed,0
SAV,MSP->SAV,15-60mins Delayed,0
SAV,MSP->SAV,More than 60m Delayed,0
MSP,MSP->SEA,<0 Delay (On-Time),0
MSP,MSP->SEA,< 15mins Delayed,0
MSP,MSP->SEA,15-60mins Delayed,0
MSP,MSP->SEA,More than 60m Delayed,0
SEA,MSP->SEA,<0 Delay (On-Time),1310
SEA,MSP->SEA,< 15mins Delayed,278
SEA,MSP->SEA,15-60mins Delayed,74
SEA,MSP->SEA,More than 60m Delayed,21
MSP,MSP->SFO,<0 Delay (On-Time),0
MSP,MSP->SFO,< 15mins Delayed,0
MSP,MSP->SFO,15-60mins Delayed,0
MSP,MSP->SFO,More than 60m Delayed,0
SFO,MSP->SFO,<0 Delay (On-Time),872
SFO,MSP->SFO,< 15mins Delayed,104
SFO,MSP->SFO,15-60mins Delayed,47
SFO,MSP->SFO,More than 60m Delayed,23
MSP,MSP->SJC,<0 Delay (On-Time),0
MSP,MSP->SJC,< 15mins Delayed,0
MSP,MSP->SJC,15-60mins Delayed,0
MSP,MSP->SJC,More than 60m Delayed,0
SJC,MSP->SJC,<0 Delay (On-Time),64
SJC,MSP->SJC,< 15mins Delayed,9
SJC,MSP->SJC,15-60mins Delayed,3
SJC,MSP->SJC,More than 60m Delayed,0
MSP,MSP->SJU,<0 Delay (On-Time),0
MSP,MSP->SJU,< 15mins Delayed,0
MSP,MSP->SJU,15-60mins Delayed,0
MSP,MSP->SJU,More than 60m Delayed,0
SJU,MSP->SJU,<0 Delay (On-Time),12
SJU,MSP->SJU,< 15mins Delayed,1
SJU,MSP->SJU,15-60mins Delayed,4
SJU,MSP->SJU,More than 60m Delayed,0
MSP,MSP->SLC,<0 Delay (On-Time),0
MSP,MSP->SLC,< 15mins Delayed,0
MSP,MSP->SLC,15-60mins Delayed,0
MSP,MSP->SLC,More than 60m Delayed,0
SLC,MSP->SLC,<0 Delay (On-Time),1525
SLC,MSP->SLC,< 15mins Delayed,269
SLC,MSP->SLC,15-60mins Delayed,81
SLC,MSP->SLC,More than 60m Delayed,21
MSP,MSP->SMF,<0 Delay (On-Time),0
MSP,MSP->SMF,< 15mins Delayed,0
MSP,MSP->SMF,15-60mins Delayed,0
MSP,MSP->SMF,More than 60m Delayed,0
SMF,MSP->SMF,<0 Delay (On-Time),323
SMF,MSP->SMF,< 15mins Delayed,61
SMF,MSP->SMF,15-60mins Delayed,13
SMF,MSP->SMF,More than 60m Delayed,7
MSP,MSP->SNA,<0 Delay (On-Time),0
MSP,MSP->SNA,< 15mins Delayed,0
MSP,MSP->SNA,15-60mins Delayed,0
MSP,MSP->SNA,More than 60m Delayed,0
SNA,MSP->SNA,<0 Delay (On-Time),326
SNA,MSP->SNA,< 15mins Delayed,65
SNA,MSP->SNA,15-60mins Delayed,16
SNA,MSP->SNA,More than 60m Delayed,8
MSP,MSP->SRQ,<0 Delay (On-Time),0
MSP,MSP->SRQ,< 15mins Delayed,0
MSP,MSP->SRQ,15-60mins Delayed,0
MSP,MSP->SRQ,More than 60m Delayed,0
SRQ,MSP->SRQ,<0 Delay (On-Time),9
SRQ,MSP->SRQ,< 15mins Delayed,0
SRQ,MSP->SRQ,15-60mins Delayed,0
SRQ,MSP->SRQ,More than 60m Delayed,1
MSP,MSP->STL,<0 Delay (On-Time),0
MSP,MSP->STL,< 15mins Delayed,0
MSP,MSP->STL,15-60mins Delayed,0
MSP,MSP->STL,More than 60m Delayed,0
STL,MSP->STL,<0 Delay (On-Time),137
STL,MSP->STL,< 15mins Delayed,15
STL,MSP->STL,15-60mins Delayed,9
STL,MSP->STL,More than 60m Delayed,7
MSP,MSP->STT,<0 Delay (On-Time),0
MSP,MSP->STT,< 15mins Delayed,0
MSP,MSP->STT,15-60mins Delayed,0
MSP,MSP->STT,More than 60m Delayed,0
STT,MSP->STT,<0 Delay (On-Time),3
STT,MSP->STT,< 15mins Delayed,0
STT,MSP->STT,15-60mins Delayed,2
STT,MSP->STT,More than 60m Delayed,0
MSP,MSP->TPA,<0 Delay (On-Time),0
MSP,MSP->TPA,< 15mins Delayed,0
MSP,MSP->TPA,15-60mins Delayed,0
MSP,MSP->TPA,More than 60m Delayed,0
TPA,MSP->TPA,<0 Delay (On-Time),550
TPA,MSP->TPA,< 15mins Delayed,86
TPA,MSP->TPA,15-60mins Delayed,24
TPA,MSP->TPA,More than 60m Delayed,7
MSP,MSP->TUS,<0 Delay (On-Time),0
MSP,MSP->TUS,< 15mins Delayed,0
MSP,MSP->TUS,15-60mins Delayed,0
MSP,MSP->TUS,More than 60m Delayed,0
TUS,MSP->TUS,<0 Delay (On-Time),69
TUS,MSP->TUS,< 15mins Delayed,13
TUS,MSP->TUS,15-60mins Delayed,3
TUS,MSP->TUS,More than 60m Delayed,1
MSY,MSY->MSP,<0 Delay (On-Time),157
MSY,MSY->MSP,< 15mins Delayed,21
MSY,MSY->MSP,15-60mins Delayed,6
MSY,MSY->MSP,More than 60m Delayed,5
MSP,MSY->MSP,<0 Delay (On-Time),0
MSP,MSY->MSP,< 15mins Delayed,0
MSP,MSY->MSP,15-60mins Delayed,0
MSP,MSY->MSP,More than 60m Delayed,0
OMA,OMA->MSP,<0 Delay (On-Time),8
OMA,OMA->MSP,< 15mins Delayed,1
OMA,OMA->MSP,15-60mins Delayed,0
OMA,OMA->MSP,More than 60m Delayed,0
MSP,OMA->MSP,<0 Delay (On-Time),0
MSP,OMA->MSP,< 15mins Delayed,0
MSP,OMA->MSP,15-60mins Delayed,0
MSP,OMA->MSP,More than 60m Delayed,0
ORD,ORD->MSP,<0 Delay (On-Time),429
ORD,ORD->MSP,< 15mins Delayed,75
ORD,ORD->MSP,15-60mins Delayed,42
ORD,ORD->MSP,More than 60m Delayed,18
MSP,ORD->MSP,<0 Delay (On-Time),0
MSP,ORD->MSP,< 15mins Delayed,0
MSP,ORD->MSP,15-60mins Delayed,0
MSP,ORD->MSP,More than 60m Delayed,0
PBI,PBI->MSP,<0 Delay (On-Time),7
PBI,PBI->MSP,< 15mins Delayed,2
PBI,PBI->MSP,15-60mins Delayed,1
PBI,PBI->MSP,More than 60m Delayed,1
MSP,PBI->MSP,<0 Delay (On-Time),0
MSP,PBI->MSP,< 15mins Delayed,0
MSP,PBI->MSP,15-60mins Delayed,0
MSP,PBI->MSP,More than 60m Delayed,0
PDX,PDX->MSP,<0 Delay (On-Time),807
PDX,PDX->MSP,< 15mins Delayed,121
PDX,PDX->MSP,15-60mins Delayed,53
PDX,PDX->MSP,More than 60m Delayed,9
MSP,PDX->MSP,<0 Delay (On-Time),0
MSP,PDX->MSP,< 15mins Delayed,0
MSP,PDX->MSP,15-60mins Delayed,0
MSP,PDX->MSP,More than 60m Delayed,0
PHL,PHL->MSP,<0 Delay (On-Time),265
PHL,PHL->MSP,< 15mins Delayed,21
PHL,PHL->MSP,15-60mins Delayed,22
PHL,PHL->MSP,More than 60m Delayed,9
MSP,PHL->MSP,<0 Delay (On-Time),0
MSP,PHL->MSP,< 15mins Delayed,0
MSP,PHL->MSP,15-60mins Delayed,0
MSP,PHL->MSP,More than 60m Delayed,0
PHX,PHX->MSP,<0 Delay (On-Time),1011
PHX,PHX->MSP,< 15mins Delayed,207
PHX,PHX->MSP,15-60mins Delayed,48
PHX,PHX->MSP,More than 60m Delayed,20
MSP,PHX->MSP,<0 Delay (On-Time),0
MSP,PHX->MSP,< 15mins Delayed,0
MSP,PHX->MSP,15-60mins Delayed,0
MSP,PHX->MSP,More than 60m Delayed,0
PIT,PIT->MSP,<0 Delay (On-Time),56
PIT,PIT->MSP,< 15mins Delayed,7
PIT,PIT->MSP,15-60mins Delayed,0
PIT,PIT->MSP,More than 60m Delayed,1
MSP,PIT->MSP,<0 Delay (On-Time),0
MSP,PIT->MSP,< 15mins Delayed,0
MSP,PIT->MSP,15-60mins Delayed,0
MSP,PIT->MSP,More than 60m Delayed,0
PSC,PSC->MSP,<0 Delay (On-Time),39
PSC,PSC->MSP,< 15mins Delayed,8
PSC,PSC->MSP,15-60mins Delayed,2
PSC,PSC->MSP,More than 60m Delayed,0
MSP,PSC->MSP,<0 Delay (On-Time),0
MSP,PSC->MSP,< 15mins Delayed,0
MSP,PSC->MSP,15-60mins Delayed,0
MSP,PSC->MSP,More than 60m Delayed,0
PSP,PSP->MSP,<0 Delay (On-Time),78
PSP,PSP->MSP,< 15mins Delayed,23
PSP,PSP->MSP,15-60mins Delayed,10
PSP,PSP->MSP,More than 60m Delayed,2
MSP,PSP->MSP,<0 Delay (On-Time),0
MSP,PSP->MSP,< 15mins Delayed,0
MSP,PSP->MSP,15-60mins Delayed,0
MSP,PSP->MSP,More than 60m Delayed,0
RAP,RAP->MSP,<0 Delay (On-Time),64
RAP,RAP->MSP,< 15mins Delayed,5
RAP,RAP->MSP,15-60mins Delayed,4
RAP,RAP->MSP,More than 60m Delayed,1
MSP,RAP->MSP,<0 Delay (On-Time),0
MSP,RAP->MSP,< 15mins Delayed,0
MSP,RAP->MSP,15-60mins Delayed,0
MSP,RAP->MSP,More than 60m Delayed,0
RDU,RDU->MSP,<0 Delay (On-Time),311
RDU,RDU->MSP,< 15mins Delayed,42
RDU,RDU->MSP,15-60mins Delayed,21
RDU,RDU->MSP,More than 60m Delayed,15
MSP,RDU->MSP,<0 Delay (On-Time),0
MSP,RDU->MSP,< 15mins Delayed,0
MSP,RDU->MSP,15-60mins Delayed,0
MSP,RDU->MSP,More than 60m Delayed,0
RNO,RNO->MSP,<0 Delay (On-Time),1
RNO,RNO->MSP,< 15mins Delayed,2
RNO,RNO->MSP,15-60mins Delayed,0
RNO,RNO->MSP,More than 60m Delayed,0
MSP,RNO->MSP,<0 Delay (On-Time),0
MSP,RNO->MSP,< 15mins Delayed,0
MSP,RNO->MSP,15-60mins Delayed,0
MSP,RNO->MSP,More than 60m Delayed,0
RSW,RSW->MSP,<0 Delay (On-Time),653
RSW,RSW->MSP,< 15mins Delayed,154
RSW,RSW->MSP,15-60mins Delayed,58
RSW,RSW->MSP,More than 60m Delayed,16
MSP,RSW->MSP,<0 Delay (On-Time),0
MSP,RSW->MSP,< 15mins Delayed,0
MSP,RSW->MSP,15-60mins Delayed,0
MSP,RSW->MSP,More than 60m Delayed,0
SAN,SAN->MSP,<0 Delay (On-Time),667
SAN,SAN->MSP,< 15mins Delayed,179
SAN,SAN->MSP,15-60mins Delayed,43
SAN,SAN->MSP,More than 60m Delayed,6
MSP,SAN->MSP,<0 Delay (On-Time),0
MSP,SAN->MSP,< 15mins Delayed,0
MSP,SAN->MSP,15-60mins Delayed,0
MSP,SAN->MSP,More than 60m Delayed,0
SAV,SAV->MSP,<0 Delay (On-Time),1
SAV,SAV->MSP,< 15mins Delayed,0
SAV,SAV->MSP,15-60mins Delayed,0
SAV,SAV->MSP,More than 60m Delayed,0
MSP,SAV->MSP,<0 Delay (On-Time),0
MSP,SAV->MSP,< 15mins Delayed,0
MSP,SAV->MSP,15-60mins Delayed,0
MSP,SAV->MSP,More than 60m Delayed,0
SEA,SEA->MSP,<0 Delay (On-Time),1310
SEA,SEA->MSP,< 15mins Delayed,247
SEA,SEA->MSP,15-60mins Delayed,102
SEA,SEA->MSP,More than 60m Delayed,18
MSP,SEA->MSP,<0 Delay (On-Time),0
MSP,SEA->MSP,< 15mins Delayed,0
MSP,SEA->MSP,15-60mins Delayed,0
MSP,SEA->MSP,More than 60m Delayed,0
SFO,SFO->MSP,<0 Delay (On-Time),919
SFO,SFO->MSP,< 15mins Delayed,89
SFO,SFO->MSP,15-60mins Delayed,31
SFO,SFO->MSP,More than 60m Delayed,7
MSP,SFO->MSP,<0 Delay (On-Time),0
MSP,SFO->MSP,< 15mins Delayed,0
MSP,SFO->MSP,15-60mins Delayed,0
MSP,SFO->MSP,More than 60m Delayed,0
SJC,SJC->MSP,<0 Delay (On-Time),57
SJC,SJC->MSP,< 15mins Delayed,9
SJC,SJC->MSP,15-60mins Delayed,7
SJC,SJC->MSP,More than 60m Delayed,2
