YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2020,4,4,6,4/4/2020,DL,10431,30431,"Asheville, NC",NC,10397,30397,"Atlanta, GA",GA,752,-3,9,6,840,-13,0,0,33,164,,,,,
2020,4,4,6,4/4/2020,DL,13487,31650,"Minneapolis, MN",MN,10397,30397,"Atlanta, GA",GA,1248,-3,9,7,1555,-15,0,0,111,907,,,,,
2020,4,4,6,4/4/2020,DL,11433,31295,"Detroit, MI",MI,11618,31703,"Newark, NJ",NJ,,,,,,,1,0,,488,,,,,
2020,4,4,6,4/4/2020,DL,12892,32575,"Los Angeles, CA",CA,12173,32134,"Honolulu, HI",HI,1648,-7,9,5,1926,-13,0,0,324,2556,,,,,
2020,4,4,6,4/4/2020,DL,11298,30194,"Dallas/Fort Worth, TX",TX,11433,31295,"Detroit, MI",MI,,,,,,,1,0,,986,,,,,
2020,4,4,6,4/4/2020,DL,14635,31714,"Fort Myers, FL",FL,11433,31295,"Detroit, MI",MI,831,1,10,6,1121,14,0,0,154,1084,,,,,
2020,4,4,6,4/4/2020,DL,10397,30397,"Atlanta, GA",GA,15304,33195,"Tampa, FL",FL,,,,,,,1,0,,406,,,,,
2020,4,4,6,4/4/2020,DL,15304,33195,"Tampa, FL",FL,10397,30397,"Atlanta, GA",GA,,,,,,,1,0,,406,,,,,
2020,4,4,6,4/4/2020,DL,12339,32337,"Indianapolis, IN",IN,10397,30397,"Atlanta, GA",GA,603,-7,11,4,726,-7,0,0,68,432,,,,,
2020,4,4,6,4/4/2020,DL,11298,30194,"Dallas/Fort Worth, TX",TX,12892,32575,"Los Angeles, CA",CA,1519,-11,11,4,1618,-26,0,0,164,1235,,,,,
